Date,DAILYPRODGAS,MONTHLYPRODGAS,GAS.CUMU.,DAILYCONDPROD,MONTHLYPRODCOND,COND.CUMU.,DAILYPRODOIL,MONTHLYPRODOIL,OIL.CUMU.,Days.Produced,DAILYWATER,MONTHLYWATER
5/31/1990,,0.000,0.000,,0,0.0000,,0,0.000,,,0
6/30/1990,0.0,0.000,0.000,0,0,0.0000,97.7,1758,1.758,18,0,0
7/31/1990,0.0,0.000,0.000,0,0,0.0000,106.5,3302,5.060,31,1,26
8/31/1990,0.0,0.000,0.000,0,0,0.0000,110.7,3431,8.491,31,1,27
9/30/1990,0.0,0.000,0.000,0,0,0.0000,113.0,3390,11.881,30,1,27
10/31/1990,0.0,0.000,0.000,0,0,0.0000,116.5,3610,15.491,31,1,29
11/30/1990,0.0,0.000,0.000,0,0,0.0000,83.1,2327,17.818,28,1,19
12/31/1990,0.0,0.000,0.000,0,0,0.0000,124.0,3597,21.415,29,1,23
1/31/1991,0.0,0.000,0.000,0,0,0.0000,120.1,3723,25.138,31,0,0
2/28/1991,0.0,0.000,0.000,0,0,0.0000,101.7,2848,27.986,28,0,0
3/31/1991,0.0,0.000,0.000,0,0,0.0000,111.9,3469,31.456,31,0,0
4/30/1991,0.0,0.000,0.000,0,0,0.0000,37.1,1077,32.532,29,0,0
5/31/1991,0.0,0.000,0.000,0,0,0.0000,134.8,4178,36.710,31,0,0
6/30/1991,0.0,0.000,0.000,0,0,0.0000,135.3,4058,40.768,30,0,0
7/31/1991,0.0,0.000,0.000,0,0,0.0000,128.9,3996,44.764,31,0,0
8/31/1991,0.0,0.000,0.000,0,0,0.0000,130.3,4039,48.803,31,0,0
9/30/1991,0.0,0.000,0.000,0,0,0.0000,129.9,3896,52.699,30,0,0
10/31/1991,0.0,0.000,0.000,0,0,0.0000,131.1,4065,56.764,31,1,16
11/30/1991,0.0,0.000,0.000,0,0,0.0000,130.5,3915,60.679,30,1,16
12/31/1991,0.0,0.000,0.000,0,0,0.0000,130.9,4059,64.738,31,1,16
1/31/1992,0.0,0.000,0.000,0,0,0.0000,131.4,4074,68.812,31,0,8
2/29/1992,0.0,0.000,0.000,0,0,0.0000,113.1,3281,72.093,29,0,7
3/31/1992,0.0,0.000,0.000,0,0,0.0000,137.5,4262,76.355,31,0,9
4/30/1992,0.0,0.000,0.000,0,0,0.0000,135.3,4059,80.414,30,0,8
5/31/1992,0.0,0.000,0.000,0,0,0.0000,133.0,4122,84.536,31,0,8
6/30/1992,0.0,0.000,0.000,0,0,0.0000,131.9,3956,88.492,30,0,12
7/31/1992,0.0,0.000,0.000,0,0,0.0000,91.3,2829,91.321,31,0,8
8/31/1992,0.0,0.000,0.000,0,0,0.0000,32.3,1000,92.321,31,0,2
9/30/1992,0.0,0.000,0.000,0,0,0.0000,12.3,368,92.689,30,0,1
10/31/1992,0.0,0.000,0.000,0,0,0.0000,41.2,1278,93.967,31,0,3
11/30/1992,0.0,0.000,0.000,0,0,0.0000,42.0,1259,95.226,30,0,3
12/31/1992,0.0,0.000,0.000,0,0,0.0000,44.0,1364,96.591,31,0,3
1/31/1993,0.0,0.000,0.000,0,0,0.0000,44.8,1390,97.981,31,0,3
2/28/1993,0.0,0.000,0.000,0,0,0.0000,43.3,1213,99.194,28,0,2
3/31/1993,0.0,0.000,0.000,0,0,0.0000,43.7,1355,100.549,31,0,3
4/30/1993,0.0,0.000,0.000,0,0,0.0000,134.6,4037,104.586,30,0,8
5/31/1993,0.0,0.000,0.000,0,0,0.0000,143.6,4452,109.038,31,1,35
6/30/1993,0.0,0.000,0.000,0,0,0.0000,139.6,4187,113.225,30,1,31
7/31/1993,0.0,0.000,0.000,0,0,0.0000,135.2,4191,117.416,31,1,34
8/31/1993,0.0,0.000,0.000,0,0,0.0000,130.1,4034,121.450,31,1,32
9/30/1993,0.0,0.000,0.000,0,0,0.0000,130.7,3921,125.371,30,1,31
10/31/1993,0.0,0.000,0.000,0,0,0.0000,127.7,3960,129.331,31,1,35
11/30/1993,0.0,0.000,0.000,0,0,0.0000,124.4,3731,133.062,30,1,30
12/31/1993,0.0,0.000,0.000,0,0,0.0000,126.1,3908,136.970,31,2,47
1/31/1994,0.0,0.000,0.000,0,0,0.0000,126.8,3930,140.900,31,1,31
2/28/1994,0.0,0.000,0.000,0,0,0.0000,125.4,3510,144.410,28,1,28
3/31/1994,0.0,0.000,0.000,0,0,0.0000,121.7,3774,148.184,31,1,30
4/30/1994,0.0,0.000,0.000,0,0,0.0000,115.4,3463,151.647,30,1,31
5/31/1994,0.0,0.000,0.000,0,0,0.0000,115.0,3564,155.211,31,1,28
6/30/1994,0.0,0.000,0.000,0,0,0.0000,116.2,3486,158.697,30,1,28
7/31/1994,0.0,0.000,0.000,0,0,0.0000,114.3,3543,162.240,31,1,29
8/31/1994,0.0,0.000,0.000,0,0,0.0000,81.8,2536,164.776,31,1,28
9/30/1994,0.0,0.000,0.000,0,0,0.0000,110.5,3316,168.092,30,1,27
10/31/1994,0.0,0.000,0.000,0,0,0.0000,112.1,2803,170.895,25,1,19
11/30/1994,0.0,0.000,0.000,0,0,0.0000,92.2,1752,172.647,19,1,12
12/31/1994,0.0,0.000,0.000,0,0,0.0000,118.5,3675,176.322,31,1,30
1/31/1995,0.0,0.000,0.000,0,0,0.0000,139.2,4315,180.637,31,1,35
2/28/1995,0.0,0.000,0.000,0,0,0.0000,129.1,3615,184.252,28,1,31
3/31/1995,0.0,0.000,0.000,0,0,0.0000,124.3,3854,188.106,31,1,43
4/30/1995,0.0,0.000,0.000,0,0,0.0000,118.4,3553,191.659,30,1,28
